,Name,Distance,Mass,Radius,Gravity
127,2MASSI J1526140+204341,67.0,1.1037362777999998e+31,650824.7341679999,1739095455.6633153
128,DENIS-P J153941.96-052042.4,51.0,1.2876923240999997e+31,664106.8716000001,1948598488.2222216
129,2MASS J15462718-3325111,37.0,8.993406707999999e+30,624260.459304,1540205894.3890755
130,2MASSW J1552591+294849,68.0,6.131868209999999e+30,949672.826388,453764996.8265352
131,2MASSW J1555157-095605,44.0,1.4512088096999998e+31,684030.0777480002,2069977911.2939107
132,2MASS J16150413+1340079,48.0,8.584615494e+30,624260.459304,1470196535.5532086
133,SDSSp J162414.37+002915.6,36.0,8.789011100999999e+30,624260.459304,1505201214.9711418
134,2MASSW J1632291+190441,50.0,1.0015384743e+31,644183.665452,1610773304.2306488
135,WISEPA J164715.59+563208.2,28.0,8.380219886999999e+30,624260.459304,1435191856.135275
136,LSPM J1658+7027,60.0,1.4920879310999998e+31,690671.146464,2087555321.33791
137,SDSSp J175032.96+175903.9,90.0,9.606593529e+30,644183.665452,1545027455.0783772
138,2MASS J18283572-4849046,39.0,9.197802314999998e+30,630901.52802,1542222784.505123
139,LSR J1835+3259,18.5,1.5738461738999997e+31,710594.3526120001,2080199471.1274576
140,2MASS J18432213+4040209,46.0,1.9621978272e+31,810210.3833519999,1994956284.89241
141,SDSS J204749.61-071818.3,65.0,9.402197922e+30,637542.596736,1543821829.1553378
142,2MASSI J2057540-025230,47.0,1.4307692489999998e+31,677389.0090320001,2081035593.38526
143,2MASSI J2104149-103736,62.0,1.4103296882999998e+31,677389.0090320001,2051306513.479756
144,PSO J318.5-22,80.0,1.3285714454999997e+30,1016083.513548,85884008.61589962
145,2MASS J21392676+0220226,32.1,9.402197922e+30,637542.596736,1543821829.1553378
146,2MASS J21481628+4003593,26.3,1.1241758384999998e+31,657465.802884,1735697796.5031462
147,2MASSW J2206450-421721,93.0,4.496703354e+30,883262.1392280001,384681420.1713457
148,2MASSW J2224438-015852,38.0,1.2468132027e+31,657465.802884,1925046647.0307624
149,2MASS J22282889-4310262,35.0,8.584615494e+30,624260.459304,1470196535.5532086
150,2MASS J22373255+3922398,64.0,1.4920879310999998e+31,690671.146464,2087555321.33791
151,2MASSW J2244316+204343,56.0,2.452747284e+30,856697.864364,223040452.37920365
152,2MASS J23224684-3133231,56.0,4.905494568e+30,923108.551524,384205389.7875191
153,2MASS J23515044-2537367,67.0,1.7986813416e+31,770363.971056,2022779322.654856
154,2MASSI J2356547-155310,74.0,1.6351648559999995e+31,723876.4900440001,2082662047.550614
155,WISE 0410+1502,20.0,1.226373642e+30,777005.0397719999,135569295.34817478
156,WISE 0458+6434A,35.9,3.065934105e+30,2789248.86072,26301134.977624204
157,WISE 0458+6434B,35.9,2.04395607e+30,2523606.11208,21419760.89590448
158,WISE 1405+5534,25.3,6.131868209999999e+30,571131.909576,1254602544.6330209
